Informant,response mantel 8.4,Comments
WV41A,fireboard,
WV41B,fireboard,
WV42A,mantel,
WV42B,fireboard,
WV43A,mantelboard,
WV43B,mantel,
WV44A,mantelboard,
WV44B,mantel,
WV44B,fire mantel,
WV45A,mantelpiece,
WV45B,mantel,
WV46A,mantel,
WV46B,mantel,
WV47A,mantel,
WV47B,mantel,
WV48A,mantel,
WV48B,mantel,
WV48C,mantel,
WV48D,mantel,
WV49A,mantel,
WV49B,mantel,
WV50A,mantel,
WV50B,mantel,
WV51A,mantel,
WV51B,mantel,
WV52A,mantel,
WV52B,mantel,
WV52C!,mantel,
WV53A,mantel,
WV53B,mantel,
WV53C!,mantel,
WV54A,mantel,
WV54B,mantel,
DE1A,mantel,
DE1A,shelf,
DE1B,mantelpiece,
DE1C!,mantelpiece,
DE2A,mantel,
DE2B,mantel,
DE2C,mantel,
DE3A,mantel,
DE3B,mantel,
DE3C!,mantel,
DE4,mantel,
DE5A,mantel,
DE5B,mantel,
DE6A,mantel,
DE6B,mantel,
MD1A,mantelpiece,
MD1B,mantelpiece,
MD2A,mantelpiece,
MD2B,mantel,
MD3A,mantelpiece,
MD3B,mantel,
MD4A,mantel,
MD4B,mantel,
MD4C,mantel,
MD4C,mantelpiece,
MD5A,mantelpiece,
MD5B,mantel,
MD6A,mantel,
MD6A,mantel bit,
MD6B,mantel,
MD7A,mantel,
MD7B,mantel,
MD7C!,mantel,
MD8A,mantel,
MD8B,mantel,
MD9N,mantelpiece,
MD9A,mantel,
MD9A,shelf,
MD9B,mantelpiece,
MD10A,mantelpiece,
MD10B,mantelpiece,
MD11,mantelpiece,
MD12A,mantel,
MD12B,mantelpiece,
MD13A,mantelpiece,
MD13B,mantelpiece,
MD13C,mantelpiece,
MD13D!,mantel,
MD13E!,mantelpiece,
MD13F!,mantelpiece,
MD13G,mantelpiece,
MD14,mantelpiece,
MD15A,mantelpiece,
MD15B,mantel,
MD16,mantelpiece,
MD17A,mantelpiece,
MD17B,mantelpiece,
MD18A,mantelpiece,
MD18B,mantel,
MD19A,mantelpiece,
MD19B,mantel,
MD20A,mantelpiece,
MD20B,mantelpiece,
MD20C!,mantelpiece,
MD21A,mantelpiece,
MD21B,mantel,
MD22N,mantelpiece,
MD22M,mantelpiece,
MD22A,shelf,
MD22A,mantelpiece,
MD22B,mantel,
MD22C!,mantel,
MD23A,mantelpiece,
MD23B,mantelpiece,
MD23C,mantel,
MD24,mantelpiece,
MD25,mantelpiece,
MD26A,mantel,
MD26B,mantelpiece,
MD27A,mantel,
MD27B,mantel,
DC1A,mantel,
DC1B!,mantel,
VA1!,mantel,
VA2A,mantelpiece,
VA2B,mantel,
VA2B,shelf,
VA3A,mantelpiece,
VA3B,mantelpiece,
VA3C,NR,
VA4N,shelf,
VA4N,mantelpiece,
VA5A,mantelpiece,
VA5B,mantelpiece,
VA6A,mantel,
VA6A,shelf,
VA6B,mantel,
VA7A,mantelpiece,
VA7B,mantel,
VA8A,mantelpiece,
VA8B,mantelpiece,
VA8C!,mantelpiece,
VA9A,shelf,
VA9B!,mantelpiece,
VA10A,mantelpiece,
VA10B,mantel,
VA11A,mantelpiece,
VA11B,mantelpiece,
VA12N,mantelpiece,
VA12A,mantelpiece,
VA12B!,mantel,
VA12B!,mantelpiece,
VA13A,mantelpiece,
VA13B,mantel,
VA14A,mantelpiece,
VA14A,shelf,as a child
VA14B,mantel,
VA14B,shelf,
VA14C,mantelpiece,
VA15N,mantelpiece,
VA15N,shelf,
VA15N,in token of a shelf,= the same as [a shelf]
VA15N,mantelpiece,"""in token of a shelf”"
VA15A,mantelpiece,
VA15A,shelf,
VA15B,mantelpiece,
VA16A,mantel,
VA16A,shelf,
VA16B,mantel,
VA17A,mantelpiece,
VA17A,shelf,
VA17B,mantel,
VA18,mantelpiece,
VA19A,shelf,
VA19A,mantelpiece,
VA19B,shelf,
VA19B,mantelpiece,
VA19C!,mantelpiece,
VA20A,mantelpiece,
VA20B,mantel,
VA20C,mantel,
VA21N,shelf,
VA21N,mantelpiece,white people say
VA21A,mantelpiece,
VA21B,mantelpiece,
VA22,mantelpiece,
VA23A,mantelpiece,
VA23A,shelves,
VA23B,mantelpiece,
VA24,mantel,
VA24,shelf,
VA25,shelf,
VA25,shelf,
VA25,shelf,
VA26A,mantel,
VA26B,mantel,
VA26C,mantel,
VA27,mantel,
VA27,mantelpiece,
VA27,shelf,
VA28A,mantel,
VA28B,mantel,
VA29,mantelpiece,
VA29,chimneypiece,
VA30A,mantel,
VA30B!,mantel,
VA30C!,mantelpiece,
VA30D!,mantelpiece,
VA30E!,mantelpiece,
VA31A,mantelpiece,
VA31A,shelf,
VA31A,chimneypiece,
VA31B,mantelpiece,
VA31C,NA,
VA32!,mantelpiece,
VA33A,mantelpiece,
VA33B,mantelpiece,
VA34A,mantelpiece,
VA34A,shelf,
VA34B,mantel,
VA34B,mantelpiece,
VA35A,mantel,
VA35A,shelf,
VA35B,mantel,
VA36A,mantelpiece,
VA36B,mantel,
VA37,mantel,
VA37,shelf,
VA38,mantel,
VA38,mantelpiece,older [than mantel]
VA39!,mantel,
VA40A,shelf,
VA40B,mantel,
VA41A,mantelpiece,
VA41B,mantelpiece,
VA42A,mantelpiece,
VA42A,shelf,
VA42B,mantelpiece,
VA43N,mantelpiece,
VA43A,mantelpiece,
VA43A,shelf,
VA43B,mantelpiece,
VA44A,mantelpiece,
VA44B,mantelpiece,
VA45A,mantelpiece,
VA45B,mantelpiece,
VA46N,mantelpiece,
VA46N,mantelshelf,older [than mantelpiece]
VA46A,mantelpiece,
VA46A,shelf,
VA46B!,mantelpiece,
VA47,mantelpiece,
VA48A,mantelpiece,
VA48A,shelf,
VA48A,mantelpiece,
VA48B,mantel,
VA48B,shelf,
VA49A,mantelpiece,
VA49B,mantelpiece,
VA50A,mantelpiece,
VA50A,shelf,
VA50B,mantel,
VA50B,mantelpiece,
VA51A,mantelpiece,
VA51A,shelf,
VA51B,NA,
VA51C,mantelpiece,
VA52A,mantel,
VA52B,mantel,
VA52C!,mantel,
VA53A,mantelpiece,
VA53B,mantel,
VA54A,mantelpiece,
VA54A,shelf,
VA54B,mantel,
VA55A,mantelpiece,
VA55B,mantelpiece,
VA55B,mantel,
VA56A,shelf,no fireplaces here
VA56B,mantelpiece,
VA56B,fireboard,
VA57A,mantel,
VA57A,mantel,
VA57A,shelf,
VA57B,mantel,
VA57B,mantelpiece,
VA58,shelf,
VA58,mantelpiece,
VA59N,mantelpiece,
VA59N,chimneypiece,
VA59A,mantel,
VA59B!,mantelpiece,
VA60,mantel,
VA60,mantelboard,
VA60,fireboard,
VA61A,mantelpiece,
VA61B!,mantelpiece,
VA61C,NA,
VA62A,shelf,
VA62A,mantelpiece,
VA62A,shelf,
VA62B,mantelpiece,
VA62B,shelf,
VA63A,mantelpiece,
VA63A,fireboard,natural
VA63B,mantelboard,
VA64A,mantelpiece,
VA64A,shelf,natural
VA64B,mantel,
VA65A,mantelpiece,
VA65A,fireboard,
VA65B,mantel,
VA65B,fireboard,
VA65C!,mantel,
VA65C!,chimneypiece,never used
VA66A,mantel,
VA66A,fireboard,
VA66B,mantel,
VA67A,fireboard,
VA67B,mantelpiece,
VA67B,fireboard,
VA68A,mantelpiece,
VA68A,fireboard,
VA68B,mantel,
VA69A,mantel,
VA69B,mantel,
VA70A,mantel,
VA70A,chimneypiece,
VA70A,fireboard,
VA70B,mantel,
VA70B,fireboard,
VA71A,mantel,
VA71A,fireboard,
VA71B,mantel,
VA71B,fireboard,
VA72A,fireboard,
VA72B,fireboard,
VA73,mantel,
VA73,fireboard,
VA74A,mantelpiece,
VA74A,fireboard,
VA74B!,mantel,
VA75A,mantel,
VA75A,fireboard,
VA75B,mantel,
VA75B,fireboard,
NC1,mantelpiece,
NC2A,shelf,
NC2A,mantel,
NC2A,fireboard,vertical enclosings
NC2B,mantel,
NC3A,mantelpiece,
NC3B,mantelpiece,
NC4A,mantel,
NC4A,shelf,
NC4B,mantel,
NC4B,shelf,
NC5A,mantelpiece,
NC5B,mantel,
NC6!,mantel,
NC7A,mantel,
NC7A,frontice,as a child
NC7B,mantelpiece,
NC8N,mantelpiece,
NC8A,frontice,
NC8B,mantelpiece,
NC9A,mantelpiece,
NC9B,mantelpiece,
NC10A,lamp shelf,
NC10A,clock shelf,
NC10B,shelf,
NC10C,shelf,
NC11A,mantelpiece,
NC11B,mantelpiece,
NC12A,shelf,
NC12A,mantel,
NC12A,mantelshelf,
NC12A,mantelpiece,
NC12B,mantel,
NC13A,mantelpiece,
NC13A,chimney cap,
NC13B,mantelpiece,
NC13B,mantel,
NC14N,mantelpiece,
NC14A,mantelboard,
NC14A,fire shelf,
NC14B,mantel,
NC14B,mantelpiece,
NC14C!,mantelpiece,
NC15A,fire shelf,
NC15B,mantel,
NC15C,mantelpiece,
NC16A,fireboard,
NC16A,shelf,some say
NC16A,mantelpiece,
NC16B,mantelpiece,
NC17A,mantelpiece,
NC17B,mantel,
NC17B,mantelpiece,
NC18A,fireboard,
NC18B,mantelpiece,
NC19A,mantelpiece,
NC19A,mantelpiece,natural
NC19B,mantel,
NC19B,mantelpiece,
NC20A,mantelpiece,
NC20A,mantelshelf,
NC20B,mantelpiece,
NC20B,mantelshelf,
NC20C,mantel,
NC20C,clock shelf,
NC21A,mantelpiece,
NC21B,mantelpiece,
NC22A,mantel,
NC22A,mantelpiece,
NC22A,fireboard,
NC22B,mantel,
NC22B,mantelpiece,
NC23A,mantelpiece,
NC23A,fireboard,
NC23B,mantelpiece,
NC23B,fireboard,
NC23C!,mantelpiece,
NC23D!,mantel,
NC23D!,mantelpiece,
NC24N,mantelpiece,
NC24A,mantelboard,
NC24A,fireboard,
NC24B,mantel,
NC25N,mantelpiece,
NC25N,fireboard,
NC25A,mantelpiece,
NC25B,mantelpiece,
NC25B,fireboard,
NC26A,mantelboard,
NC26A,fireboard,
NC26B,mantelpiece,
NC26B,shelf,
NC26C!,mantelpiece,
NC27A,NR,
NC27B,mantel,
NC27B,fireboard,
NC28A,fireboard,
NC28B,fireboard,
NC28C,mantel,
NC28C,fireboard,
NC29A,mantelboard,
NC29A,fireboard,
NC29B,mantelpiece,
NC29B,fireboard,
NC30A,mantelpiece,
NC30B,mantel,
NC31A,mantelpiece,
NC31B,mantel,
NC31B,fire shelf,
NC32A,mantelpiece,
NC32B!,mantel,
NC32B!,mantelpiece,
NC33A,shelf,
NC33A,mantelpiece,
NC33B,mantelpiece,
NC34A,frontice,nicer [than shelf]
NC34A,shelf,
NC34B,mantelpiece,
NC34B,shelf,
NC35A,fireboard,older [than mantel]
NC35A,mantel,
NC35A,mantelpiece,
NC35B,mantel,
NC35B,frontice,
NC36N,mantelboard,
NC36A,fireboard,
NC36A,mantelpiece,
NC36B,mantelboard,
NC36B,mantelpiece,
NC37A,NR,
NC37B,mantel,
NC37B,mantelpiece,
NC38N,mantelpiece,
NC38N,shelf,
NC38A,frontice,nice one
NC38A,shelf,
NC38B,mantelpiece,
NC38B,frontice,mother said
NC39A,shelf,
NC39B!,mantelpiece,
NC40A,mantel,
NC40A,frontice,
NC40A,shelf,
NC40B,mantel,
NC40B,shelf,
NC41!,mantel,
NC42A,mantel,
NC42A,fireboard,
NC42B,mantel,
NC42B,fireboard,
NC43A,mantel,
NC43A,fireboard,
NC43B,mantelpiece,
NC43B,fireboard,
NC44,mantel,
NC44,fireboard,
NC44,shelf,
NC45A,mantelpiece,
NC45A,fireboard,
NC45B,shelf,
NC46A,fireboard,
NC46B,mantel,
NC46B,fireboard,
NC46C!,mantel,
NC47,fireboard,
NC48,mantelboard,
NC48,fireboard,
NC49,mantel,
NC49,fireboard,
NC50A,mantel,
NC50A,fireboard,
NC50B!,mantel,
NC50B!,mantelpiece,
NC51A,fireboard,
NC51B,mantel,
NC51B,fireboard,
NC52N,mantelpiece,
NC52A,fireboard,
NC52B,mantelpiece,
NC53A,fireboard,
NC53B,mantel,
NC53B,fireboard,
NC54A,mantelpiece,
NC54B,mantelboard,
NC54B,fireboard,
NC55,mantel,
NC55,fireboard,
NC56A,mantel,
NC56A,fireboard,
NC56B!,mantel,
NC57A,fireboard,
NC57B,mantel,
NC57B,fire jamb,
NC57B,fireboard,
NC58A,mantel,
NC58A,fireboard,
NC58B,mantel,
NC58B,fireboard,
NC59,fireboard,
NC60,mantel,
NC60,fireboard,
NC61A,fireboard,
NC61B,mantel,
NC61B,fireboard,
NC62A,mantel,
NC62A,fireboard,
NC62B,mantel,
NC62B,fireboard,
NC63A,fireboard,
NC63B,mantelpiece,
NC63B,fireboard,
NC64A,fireboard,
NC64B,fireboard,
NC65A,fireboard,
NC65B,mantel,
NC65B,fireboard,
NC66A,NR,
NC66B,mantel,
NC66B,fireboard,
NC67A,mantel,
NC67A,fireboard,
NC67B,mantel,
NC67B,fireboard,
NC68A,mantelboard,
NC68A,fireboard,
NC68B,mantelpiece,
NC68B,fireboard,
NC69A,fireboard,
NC69B,fireboard,
NC70A,mantelpiece,
NC70A,fireboard,
NC70B,mantel,
NC70B,mantelshelf,
NC71A,fireboard,
NC71B,fireboard,
NC71C!,mantel,
NC71C!,fireboard,
NC72A,fireboard,
NC72B,fireboard,
NC72B,mantel,
NC73A,fireboard,
NC73B,mantel,
NC73B,fireboard,
NC74A,fireboard,
NC74B,mantel,
NC74B,fireboard,
NC75A,fireboard,
NC75B,mantelpiece,
NC75B,mantelboard,
NC75B,fireboard,
SC1A,mantelpiece,
SC1A,fireboard,
SC1B,mantel,
SC1B,fireboard,
SC2A,mantelboard,
SC2B,mantelboard,
SC2C,mantelboard,
SC3A,mantelshelf,
SC3A,fireboard,
SC3B,mantels,
SC3B,mantel,
SC3B,fireboard,
SC3B,fireboard,
SC3C!,mantelpiece,
SC3C!,mantelboard,
SC4A,mantelpiece,
SC4A,mantelboard,
SC4B,mantelpiece,
SC4B,mantelshelf,
SC4C,mantelpiece,
SC5A,mantel,
SC5A,mantelpiece,
SC5A,mantelboard,"for ""clock”"
SC5A,clock,
SC5B,mantelpiece,
SC5C,mantelpiece,
SC5D!,mantel,
SC5D!,shelf,
SC5D!,fire shelf,
SC5D!,fire shelf,
SC6N,mantelpiece,
SC6N,mantel,
SC6A,mantelpiece,
SC6B,mantelpiece,
